         relname         | replica_identity 
-------------------------+------------------
 agent_plan_steps        | DEFAULT
 agent_plans             | DEFAULT
 analysis_items          | DEFAULT
 analysis_sessions       | DEFAULT
 app_settings            | DEFAULT
 assimilation_iterations | DEFAULT
 assimilation_metadata   | DEFAULT
 assimilation_sessions   | DEFAULT
 audio_jobs              | DEFAULT
 audio_segments          | DEFAULT
 chat_messages           | DEFAULT
 conversations           | DEFAULT
 creator_profiles        | DEFAULT
 documents               | DEFAULT
 execution_plans         | DEFAULT
 feed_items              | DEFAULT
 feed_sessions           | DEFAULT
 improvement_images      | DEFAULT
 improvement_requests    | DEFAULT
 notifications           | DEFAULT
 plan_approvals          | DEFAULT
 research_findings       | DEFAULT
 research_iterations     | DEFAULT
 research_sessions       | DEFAULT
 shop_listings           | DEFAULT
 shop_sessions           | DEFAULT
 subscription_content    | DEFAULT
 subscription_filters    | DEFAULT
 subscription_links      | DEFAULT
 subscription_sources    | DEFAULT
 tasks                   | DEFAULT
 tool_calls              | DEFAULT
 whats_new_reports       | DEFAULT
 whats_new_workflows     | DEFAULT
(34 rows)


# non-DEFAULT count (must be 0)
non_default_replica_identity=0
